fundingTime,contract_type,fundingRate,real_funding_rate
2023-02-28 00:00:10,SWAP,-0.0016008537886873,7.39375220687e-05
2023-02-28 08:00:09,SWAP,0.0005213764337852,0.0001095578798462
2023-02-28 16:00:10,SWAP,0.0005330490405117,-2.37307377196e-05
2023-03-01 00:00:10,SWAP,-0.0005364806866953,0.000503676320554
2023-03-01 08:00:09,SWAP,0.0005197505197505,-2.18076864861e-05
2023-03-01 16:00:10,SWAP,-0.0005359056806002,6.80268302749e-05
2023-03-02 00:00:10,SWAP,0.0005186721991701,4.07770662992e-05
2023-03-02 08:00:03,SWAP,0.0005128205128205,0.0005050712922942
2023-03-02 16:00:03,SWAP,-0.0015228426395939,5.5562325391e-06
2023-03-03 00:00:03,SWAP,0.0004995004995005,0.0005091965426606
2023-03-03 08:00:03,SWAP,-0.0005230125523013,-8.20593616666e-05
2023-03-03 16:00:05,SWAP,0.0015337423312883,0.0005466865878819
2023-03-04 00:00:03,SWAP,-0.0027716186252772,-0.0009882215652447
2023-03-04 08:00:03,SWAP,0.0005649717514124,0.0010257380840899
2023-03-04 16:00:03,SWAP,0.0005681818181818,-0.0007441135394577
2023-03-05 00:00:03,SWAP,-0.0005800464037123,0.0006888896621069
2023-03-05 08:00:03,SWAP,-0.0017688679245283,-0.0006541833638756
2023-03-05 16:00:03,SWAP,0.0006053268765133,0.0005099408228892
2023-03-06 00:00:03,SWAP,-0.0006038647342995,-0.0004190846592829
2023-03-06 08:00:03,SWAP,-0.0006002400960384,0.0004456989456117
2023-03-06 16:00:03,SWAP,-0.0006075334143378,-0.0003990512051381
2023-03-07 00:00:04,SWAP,-0.0006105006105006,0.0003569686048422
2023-03-07 08:00:03,SWAP,0.0006016847172082,8.18027424988e-05
2023-03-07 16:00:03,SWAP,-0.0006142506142506,-3.96242704332e-05
2023-03-08 00:00:03,SWAP,0.000616522811344,0.0004267692211357
2023-03-08 08:00:03,SWAP,-0.0018773466833542,-0.0004240933991697
2023-03-08 16:00:03,SWAP,-0.0006418485237484,0.000556760951143
2023-03-09 00:00:03,SWAP,0.0020161290322581,-0.0003630295674698
