,spread,theta,mu,sigma,signal,a,b
2008-07-30,0.0,72870.16662012877,0.0,1e-05,,5.238900094456123e-08,-5.238900094456123e-08
2008-07-31,0.09759667301261032,0.2707983549498291,0.3604034900617376,1e-05,,0.360430666465543,0.3603763136579322
2008-08-01,0.17927280370493293,0.1631254472363302,0.5982920088108363,1e-05,,0.598327023811599,0.5982569938100737
2008-08-04,0.22363311486951432,0.29265467952086804,0.347007703243777,0.006120754977104605,,0.36300852383815313,0.33100688264940087
2008-08-05,0.2734216510857408,0.2462582208708128,0.40270182229349105,0.006960919645174037,,0.42253929076364294,0.38286435382333917
2008-08-06,0.5173412403937547,0.0016133947257552113,410.30987242234437,0.0666143423628834,,412.6552481491152,407.96449669557353
2008-08-07,0.49616909601016346,0.15355770401595367,0.7537371839560222,0.07714992628387607,,1.0321663382696886,0.4753080296423558
2008-08-08,0.6009361566952549,0.08339567433125304,1.2847543946741105,0.07220710145317451,,1.6383632621549198,0.9311455271933011
2008-08-11,0.5587156849458452,0.17479803775913855,0.69809027324214,0.07636643387300981,,0.9564050389513838,0.4397755075328962
2008-08-12,0.6061781432180027,0.1610479371382817,0.7456718911836169,0.07230372900173758,,1.000471120991024,0.4908726613762099
2008-08-13,0.4133109741338359,0.2788761875394697,0.5035325257827685,0.09744600433351214,,0.7644921495458101,0.24257290201972698
2008-08-14,0.22695035260989727,0.3030376631663782,0.4286812354584675,0.11569943924668163,,0.7259148670773794,0.1314476038395555
2008-08-15,0.2806076506913442,0.30112136417526275,0.42711679763913774,0.11108741567385844,,0.7134087081386455,0.14082488713962993
2008-08-18,0.2962024771841243,0.2973618522140026,0.4207873589170836,0.10719473815354497,,0.6987880265929127,0.14278669124125448
2008-08-19,0.16223635953095794,0.2816385852852294,0.3818843588914387,0.11371369658753855,,0.6849116186099796,0.07885709917289774
2008-08-20,0.22685072154920505,0.2825305717675568,0.38236650013023193,0.110149826866522,,0.6754329426334437,0.0893000576270202
2008-08-21,0.33202447056320494,0.29370591942693436,0.3931182084551023,0.10864457438423138,,0.6766271045649908,0.10960931234521393
2008-08-22,0.43917661444703526,0.2921750138754443,0.41144563435583337,0.10808264791313324,,0.6942261207013303,0.12866514801033646
2008-08-25,0.5392453507372608,0.2700649674478821,0.4404081855861871,0.10762099453173948,,0.733280199151624,0.14753617202075014
2008-08-26,0.5989582868050434,0.24037707963408217,0.471663852092635,0.10545858657010737,,0.7758576932273009,0.16747001095796915
2008-08-27,0.6361722649870245,0.21443660600387932,0.501776536858657,0.10281766255427742,,0.8157791496839835,0.18777392403333054
2008-08-28,0.3788717705460982,0.3001279346088935,0.4270174517022111,0.11662138433775096,,0.7280683867227971,0.12596651668162517
2008-08-29,0.21274541959331827,0.3029997662905715,0.39936366618472346,0.12184847581061146,,0.7124138420381225,0.0863134903313244
2008-09-01,-0.0013146661666070258,0.24895999434443414,0.36049268698068276,0.13091022663855986,,0.7315353000659668,-0.010549926104601315
2008-09-02,-0.12811976357505728,0.162128991087472,0.31271073994788706,0.13030187600359547,,0.7703626994714241,-0.14494121957565004
2008-09-03,0.3115763887446761,0.31689990974831583,0.36601596700722183,0.15568745870972875,,0.7571337565439655,-0.02510182252952181
2008-09-04,0.42390104058075195,0.31817634243819126,0.37734850593567887,0.1542806743512693,,0.7641539551946658,-0.009456943323308042
2008-09-05,0.6044495847293447,0.30131986848045794,0.4040246920977723,0.15601513457331587,,0.8059708144231155,0.0020785697724291508
2008-09-08,0.8032111633493386,0.2423537527819661,0.45790342774693876,0.15784651747421474,,0.9113489607517296,0.0044578947421479165
2008-09-09,0.7949391703053266,0.2177437617145655,0.48141792354889534,0.15406299455534364,,0.9483357682857314,0.01450007881205928
2008-09-10,0.5371546062819164,0.26939468460793536,0.4366385597319352,0.15925380366945363,,0.8705591918979537,0.0027179275659167113
2008-09-11,0.6353557866329211,0.25662738409681984,0.45542600725143084,0.15773709853141904,,0.895775344780561,0.01507666972230065
2008-09-12,0.7204649851059912,0.2366130944605251,0.4788336477940438,0.15587704205448366,,0.9320209846416393,0.025646310946448314
2008-09-15,0.7944295097892038,0.2122911636557021,0.5072850218579196,0.15369611807898068,,0.9790350531497402,0.03553499056609899
2008-09-16,1.0619123359249727,0.14566910408073433,0.6200752793552352,0.1572324281899249,,1.2026791889689266,0.03747136974154397
2008-09-17,1.6414386614970553,0.003238191329174969,0.43238400534357524,0.17953070166903928,,4.8941056607262095,-4.029337650039059
