datetime,stock_id,side,reason,price,shares,fee,tax,cash_after,pnl,return_pct
2022-03-28 13:00:00,2317,buy,pullback_contract,105.5,473,19.910698500000002,0.0,950078.5893015,,
2022-04-01 10:00:00,2317,sell,stop,104.5,473,19.721971500000002,148.2855,999339.08183,-660.9181700000045,-0.01323917254645737
2022-05-27 11:00:00,2317,buy,pullback_contract,110.0,454,19.926060000000003,0.0,949379.1557700001,,
2022-05-31 11:00:00,2317,buy,confirm_breakout,111.5,448,19.930848,0.0,899407.2249220001,,
2022-06-13 10:00:00,2317,sell,stop,111.5,902,40.12862700000001,301.719,999638.3772950001,299.2954650000029,0.0029949955325611777
2022-08-12 12:00:00,2330,buy,pullback_contract,517.0,96,19.803168000000003,0.0,949986.5741270002,,
2022-08-15 10:00:00,2330,buy,confirm_breakout,523.0,95,19.824315000000002,0.0,900281.7498120002,,
2022-08-18 09:00:00,1720,buy,pullback_contract,47.65,1049,19.94395515,0.0,850276.9558568501,,
2022-08-18 09:00:00,4426,buy,pullback_contract,30.15,1658,19.9454913,0.0,800268.3103655501,,
2022-08-18 10:00:00,4426,buy,confirm_breakout,30.85,1620,19.940823,0.0,750271.3695425501,,
2022-08-18 11:00:00,1339,buy,pullback_contract,43.35,1153,19.943037450000006,0.0,700268.8765051,,
2022-08-18 11:00:00,1524,buy,pullback_contract,26.6,1879,19.9425786,0.0,650267.5339265,,
2022-08-18 11:00:00,2317,buy,pullback_contract,111.5,448,19.930848,0.0,600295.6030785,,
2022-08-18 11:00:00,2736,buy,pullback_contract,26.55,1883,19.947466350000003,0.0,550282.0056121501,,
2022-08-18 11:00:00,3504,buy,pullback_contract,101.0,495,19.948005000000002,0.0,500267.05760715005,,
2022-08-18 11:00:00,5258,buy,pullback_contract,65.6,762,19.9448928,0.0,450259.91271435004,,
2022-08-18 12:00:00,1319,buy,pullback_contract,51.8,965,19.944813000000003,0.0,400252.96790135006,,
2022-08-18 13:00:00,1319,buy,confirm_breakout,52.7,948,19.933880400000007,0.0,350273.43402095005,,
2022-08-18 13:00:00,1339,sell,stop,43.35,1153,19.943037450000006,149.94765,400086.09333350003,-189.8337249000033,-0.003796485202404306
2022-08-19 09:00:00,3038,buy,pullback_contract,22.6,2212,19.946488800000004,0.0,350074.9468447,,
2022-08-19 09:00:00,6125,buy,pullback_contract,30.3,1650,19.948005000000002,0.0,300059.9988397,,
2022-08-19 09:00:00,6605,buy,pullback_contract,79.7,627,19.938788100000004,0.0,250068.16005160002,,
2022-08-19 09:00:00,8234,buy,pullback_contract,34.3,1457,19.940064900000003,0.0,200073.1199867,,
2022-08-19 10:00:00,6125,buy,confirm_breakout,30.6,1633,19.937950200000007,0.0,150083.3820365,,
2022-08-22 09:00:00,5258,sell,stop,64.9,762,19.732066200000002,148.3614,199369.0885703,-721.4383589999925,-0.01442670563469551
2022-08-22 10:00:00,1524,sell,stop,25.85,1879,19.380287850000006,145.71645,247776.14183245,-1594.2893164499983,-0.03188493016850183
2022-08-22 10:00:00,1720,buy,confirm_breakout,48.6,1028,19.934359200000003,0.0,197795.40747325,,
2022-08-22 10:00:00,2317,sell,stop,110.5,448,19.752096,148.512,247131.14337725,-636.1949440000026,-0.012731045873234747
2022-08-22 10:00:00,2330,sell,stop,512.0,191,39.01900800000001,293.37600000000003,344590.74836925,-1897.022490999996,-0.019093064439255233
2022-08-22 10:00:00,3504,sell,stop,96.9,495,19.1382345,143.8965,392393.21363475,-2212.482739500003,-0.04423642986250472
2022-08-22 10:00:00,6605,sell,stop,78.5,627,19.638580500000003,147.6585,441445.41655425,-939.6358686000021,-0.018795785299733202
2022-08-22 11:00:00,1468,buy,pullback_contract,13.0,3846,19.949202000000003,0.0,391427.46735225,,
2022-08-22 11:00:00,2474,buy,pullback_contract,179.5,278,19.910499,0.0,341506.55685325,,
2022-08-22 11:00:00,3218,buy,pullback_contract,341.5,146,19.893741000000002,0.0,291627.66311225004,,
2022-08-22 11:00:00,6617,buy,pullback_contract,405.0,123,19.876185000000003,0.0,241792.78692725004,,
2022-08-22 11:00:00,8050,buy,pullback_contract,72.5,689,19.931047500000005,0.0,191820.35587975004,,
2022-08-22 11:00:00,8097,buy,pullback_contract,84.6,591,19.949441400000005,0.0,141801.80643835006,,
2022-08-23 09:00:00,3218,sell,stop,340.5,146,19.835487000000004,149.139,191345.83195135006,-334.86822799999936,-0.006713625802104362
