,0
initial_cash,1000000
final_equity,1616771.5163152001
total_return,0.6167715163152001
max_drawdown,-0.2063770456006072
trade_count,5664
closed_positions,2449
win_rate,0.19681502654144548
avg_closed_return,-0.00367386027883575
