datetime,cash,position_value,equity,positions
2022-01-03 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-03 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-03 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-03 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-03 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-04 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-04 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-04 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-04 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-04 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-05 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-05 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-05 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-05 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-05 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-06 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-06 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-06 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-06 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-06 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-07 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-07 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-07 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-07 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-07 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-10 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-10 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-10 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-10 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-10 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-11 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-11 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-11 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-11 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-11 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-12 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-12 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-12 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-12 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-12 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-13 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-13 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-13 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-13 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-13 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-14 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-14 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-14 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-14 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-14 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-17 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-17 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-17 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-17 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-17 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-18 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-18 10:00:00,1000000.0,0.0,1000000.0,0
2022-01-18 11:00:00,1000000.0,0.0,1000000.0,0
2022-01-18 12:00:00,1000000.0,0.0,1000000.0,0
2022-01-18 13:00:00,1000000.0,0.0,1000000.0,0
2022-01-19 09:00:00,1000000.0,0.0,1000000.0,0
2022-01-19 10:00:00,1000000.0,0.0,1000000.0,0
