,sector,pair,performance
361,BNB Chain Ecosystem,"('1INCHUSDT', 'CAKEUSDT')","{'totalReturn': np.float64(2076.9343317570356), 'totalProfitfee': np.float64(2076.9343317570356), 'AnnualizedReturn': np.float64(12478.70010026861), 'Win Rate': 0.1262002743484225, 'SharpeRatio': np.float64(0.05404273990886401), 'SortinoRatio': np.float64(0.04253558085572387), 'ProfitFactor': np.float64(1.6584919552719328), 'MaxDrawdown': np.float64(-0.0)}"
362,Exchange-based Tokens,"('LRCUSDT', 'PERPUSDT')","{'totalReturn': np.float64(2058.3057363273624), 'totalProfitfee': np.float64(2058.3057363273624), 'AnnualizedReturn': np.float64(12366.775205917485), 'Win Rate': 0.17352537722908093, 'SharpeRatio': np.float64(0.029568773476803593), 'SortinoRatio': np.float64(0.02451608497930934), 'ProfitFactor': np.float64(1.160498827235679), 'MaxDrawdown': np.float64(-0.0)}"
363,Decentralized Exchange (DEX),"('LRCUSDT', 'PERPUSDT')","{'totalReturn': np.float64(2058.3057363273624), 'totalProfitfee': np.float64(2058.3057363273624), 'AnnualizedReturn': np.float64(12366.775205917485), 'Win Rate': 0.17352537722908093, 'SharpeRatio': np.float64(0.029568773476803593), 'SortinoRatio': np.float64(0.02451608497930934), 'ProfitFactor': np.float64(1.160498827235679), 'MaxDrawdown': np.float64(-0.0)}"
364,Made in USA,"('COMPUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(2042.8228137072265), 'totalProfitfee': np.float64(2042.8228137072265), 'AnnualizedReturn': np.float64(12273.750238734776), 'Win Rate': 0.4410150891632373, 'SharpeRatio': np.float64(0.031581012714008226), 'SortinoRatio': np.float64(0.047372998261333774), 'ProfitFactor': np.float64(1.1268509886565925), 'MaxDrawdown': np.float64(-0.0)}"
365,Decentralized Finance (DeFi),"('COMPUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(2042.8228137072265), 'totalProfitfee': np.float64(2042.8228137072265), 'AnnualizedReturn': np.float64(12273.750238734776), 'Win Rate': 0.4410150891632373, 'SharpeRatio': np.float64(0.031581012714008226), 'SortinoRatio': np.float64(0.047372998261333774), 'ProfitFactor': np.float64(1.1268509886565925), 'MaxDrawdown': np.float64(-0.0)}"
366,Avalanche Ecosystem,"('COMPUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(2042.8228137072265), 'totalProfitfee': np.float64(2042.8228137072265), 'AnnualizedReturn': np.float64(12273.750238734776), 'Win Rate': 0.4410150891632373, 'SharpeRatio': np.float64(0.031581012714008226), 'SortinoRatio': np.float64(0.047372998261333774), 'ProfitFactor': np.float64(1.1268509886565925), 'MaxDrawdown': np.float64(-0.0)}"
367,Harmony Ecosystem,"('COMPUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(2042.8228137072265), 'totalProfitfee': np.float64(2042.8228137072265), 'AnnualizedReturn': np.float64(12273.750238734776), 'Win Rate': 0.4410150891632373, 'SharpeRatio': np.float64(0.031581012714008226), 'SortinoRatio': np.float64(0.047372998261333774), 'ProfitFactor': np.float64(1.1268509886565925), 'MaxDrawdown': np.float64(-0.0)}"
368,Energi Ecosystem,"('COMPUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(2042.8228137072265), 'totalProfitfee': np.float64(2042.8228137072265), 'AnnualizedReturn': np.float64(12273.750238734776), 'Win Rate': 0.4410150891632373, 'SharpeRatio': np.float64(0.031581012714008226), 'SortinoRatio': np.float64(0.047372998261333774), 'ProfitFactor': np.float64(1.1268509886565925), 'MaxDrawdown': np.float64(-0.0)}"
369,Decentralized Finance (DeFi),"('SPELLUSDT', 'WOOUSDT')","{'totalReturn': np.float64(2035.3339675571488), 'totalProfitfee': np.float64(2035.3339675571488), 'AnnualizedReturn': np.float64(12228.755525240482), 'Win Rate': 0.21193415637860083, 'SharpeRatio': np.float64(0.019634763832346188), 'SortinoRatio': np.float64(0.023568712264259644), 'ProfitFactor': np.float64(1.093804126550092), 'MaxDrawdown': np.float64(-0.0)}"
370,Arbitrum Ecosystem,"('SPELLUSDT', 'WOOUSDT')","{'totalReturn': np.float64(2035.3339675571488), 'totalProfitfee': np.float64(2035.3339675571488), 'AnnualizedReturn': np.float64(12228.755525240482), 'Win Rate': 0.21193415637860083, 'SharpeRatio': np.float64(0.019634763832346188), 'SortinoRatio': np.float64(0.023568712264259644), 'ProfitFactor': np.float64(1.093804126550092), 'MaxDrawdown': np.float64(-0.0)}"
371,Avalanche Ecosystem,"('SPELLUSDT', 'WOOUSDT')","{'totalReturn': np.float64(2035.3339675571488), 'totalProfitfee': np.float64(2035.3339675571488), 'AnnualizedReturn': np.float64(12228.755525240482), 'Win Rate': 0.21193415637860083, 'SharpeRatio': np.float64(0.019634763832346188), 'SortinoRatio': np.float64(0.023568712264259644), 'ProfitFactor': np.float64(1.093804126550092), 'MaxDrawdown': np.float64(-0.0)}"
372,Fantom Ecosystem,"('SPELLUSDT', 'WOOUSDT')","{'totalReturn': np.float64(2035.3339675571488), 'totalProfitfee': np.float64(2035.3339675571488), 'AnnualizedReturn': np.float64(12228.755525240482), 'Win Rate': 0.21193415637860083, 'SharpeRatio': np.float64(0.019634763832346188), 'SortinoRatio': np.float64(0.023568712264259644), 'ProfitFactor': np.float64(1.093804126550092), 'MaxDrawdown': np.float64(-0.0)}"
373,Polygon Ecosystem,"('MANAUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(2029.2725925896962), 'totalProfitfee': np.float64(2029.2725925896962), 'AnnualizedReturn': np.float64(12192.337387575952), 'Win Rate': 0.0953360768175583, 'SharpeRatio': np.float64(0.04790438371130642), 'SortinoRatio': np.float64(0.024643243304944034), 'ProfitFactor': np.float64(1.4241792769300001), 'MaxDrawdown': np.float64(-0.0)}"
374,Decentralized Exchange (DEX),"('SISUSDT', 'WOOUSDT')","{'totalReturn': np.float64(2011.4008514084912), 'totalProfitfee': np.float64(2011.4008514084912), 'AnnualizedReturn': np.float64(12084.959847968712), 'Win Rate': 0.355281207133059, 'SharpeRatio': np.float64(0.017030256272273447), 'SortinoRatio': np.float64(0.021191037121557173), 'ProfitFactor': np.float64(1.0597895435914795), 'MaxDrawdown': np.float64(-0.0)}"
375,Linea Ecosystem,"('SISUSDT', 'WOOUSDT')","{'totalReturn': np.float64(2011.4008514084912), 'totalProfitfee': np.float64(2011.4008514084912), 'AnnualizedReturn': np.float64(12084.959847968712), 'Win Rate': 0.355281207133059, 'SharpeRatio': np.float64(0.017030256272273447), 'SortinoRatio': np.float64(0.021191037121557173), 'ProfitFactor': np.float64(1.0597895435914795), 'MaxDrawdown': np.float64(-0.0)}"
376,Smart Contract Platform,"('ALGOUSDT', 'FILUSDT')","{'totalReturn': np.float64(2001.3085960544404), 'totalProfitfee': np.float64(2001.3085960544404), 'AnnualizedReturn': np.float64(12024.323252014334), 'Win Rate': 0.0006858710562414266, 'SharpeRatio': np.float64(0.026189140043946207), 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(-0.0)}"
