,sector,pair,performance
431,Linea Ecosystem,"('IZIUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1844.780668414989), 'totalProfitfee': np.float64(1844.780668414989), 'AnnualizedReturn': np.float64(11083.867390476888), 'Win Rate': 0.22290809327846364, 'SharpeRatio': np.float64(0.017688334275515007), 'SortinoRatio': np.float64(0.015518832484459295), 'ProfitFactor': np.float64(1.1101702436748275), 'MaxDrawdown': np.float64(-0.0)}"
432,Mantle Ecosystem,"('IZIUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1844.780668414989), 'totalProfitfee': np.float64(1844.780668414989), 'AnnualizedReturn': np.float64(11083.867390476888), 'Win Rate': 0.22290809327846364, 'SharpeRatio': np.float64(0.017688334275515007), 'SortinoRatio': np.float64(0.015518832484459295), 'ProfitFactor': np.float64(1.1101702436748275), 'MaxDrawdown': np.float64(-0.0)}"
433,Arbitrum Ecosystem,"('SPELLUSDT', 'USDCUSDT')","{'totalReturn': np.float64(1839.6080383272702), 'totalProfitfee': np.float64(1839.6080383272702), 'AnnualizedReturn': np.float64(11052.789036863434), 'Win Rate': 0.4993141289437586, 'SharpeRatio': np.float64(0.02012843550817739), 'SortinoRatio': np.float64(0.024223077743329817), 'ProfitFactor': np.float64(1.0642307139894587), 'MaxDrawdown': np.float64(-0.0)}"
434,Avalanche Ecosystem,"('SPELLUSDT', 'USDCUSDT')","{'totalReturn': np.float64(1839.6080383272702), 'totalProfitfee': np.float64(1839.6080383272702), 'AnnualizedReturn': np.float64(11052.789036863434), 'Win Rate': 0.4993141289437586, 'SharpeRatio': np.float64(0.02012843550817739), 'SortinoRatio': np.float64(0.024223077743329817), 'ProfitFactor': np.float64(1.0642307139894587), 'MaxDrawdown': np.float64(-0.0)}"
435,Fantom Ecosystem,"('SPELLUSDT', 'USDCUSDT')","{'totalReturn': np.float64(1839.6080383272702), 'totalProfitfee': np.float64(1839.6080383272702), 'AnnualizedReturn': np.float64(11052.789036863434), 'Win Rate': 0.4993141289437586, 'SharpeRatio': np.float64(0.02012843550817739), 'SortinoRatio': np.float64(0.024223077743329817), 'ProfitFactor': np.float64(1.0642307139894587), 'MaxDrawdown': np.float64(-0.0)}"
436,Ethereum Ecosystem,"('CRVUSDT', 'JASMYUSDT')","{'totalReturn': np.float64(1830.4454625065964), 'totalProfitfee': np.float64(1830.4454625065964), 'AnnualizedReturn': np.float64(10997.73816979272), 'Win Rate': 0.1831275720164609, 'SharpeRatio': np.float64(0.024690747987743993), 'SortinoRatio': np.float64(0.024423584104665285), 'ProfitFactor': np.float64(1.1203880687461039), 'MaxDrawdown': np.float64(-0.0)}"
437,Decentralized Finance (DeFi),"('LDOUSDT', 'RUNEUSDT')","{'totalReturn': np.float64(1824.7940910613488), 'totalProfitfee': np.float64(1824.7940910613488), 'AnnualizedReturn': np.float64(10963.783427776007), 'Win Rate': 0.05761316872427984, 'SharpeRatio': np.float64(0.022188113300016427), 'SortinoRatio': np.float64(0.014967854929902158), 'ProfitFactor': np.float64(1.2601126595288512), 'MaxDrawdown': np.float64(-0.0)}"
438,Infrastructure,"('LDOUSDT', 'RUNEUSDT')","{'totalReturn': np.float64(1824.7940910613488), 'totalProfitfee': np.float64(1824.7940910613488), 'AnnualizedReturn': np.float64(10963.783427776007), 'Win Rate': 0.05761316872427984, 'SharpeRatio': np.float64(0.022188113300016427), 'SortinoRatio': np.float64(0.014967854929902158), 'ProfitFactor': np.float64(1.2601126595288512), 'MaxDrawdown': np.float64(-0.0)}"
439,Smart Contract Platform,"('GRTUSDT', 'ICPUSDT')","{'totalReturn': np.float64(1821.5210342136315), 'totalProfitfee': np.float64(1821.5210342136315), 'AnnualizedReturn': np.float64(10944.118147950214), 'Win Rate': 0.1310013717421125, 'SharpeRatio': np.float64(0.04018847619703254), 'SortinoRatio': np.float64(0.025856015368883087), 'ProfitFactor': np.float64(1.25176442944927), 'MaxDrawdown': np.float64(-0.0)}"
440,Infrastructure,"('GRTUSDT', 'ICPUSDT')","{'totalReturn': np.float64(1821.5210342136315), 'totalProfitfee': np.float64(1821.5210342136315), 'AnnualizedReturn': np.float64(10944.118147950214), 'Win Rate': 0.1310013717421125, 'SharpeRatio': np.float64(0.04018847619703254), 'SortinoRatio': np.float64(0.025856015368883087), 'ProfitFactor': np.float64(1.25176442944927), 'MaxDrawdown': np.float64(-0.0)}"
441,Artificial Intelligence (AI),"('GRTUSDT', 'ICPUSDT')","{'totalReturn': np.float64(1821.5210342136315), 'totalProfitfee': np.float64(1821.5210342136315), 'AnnualizedReturn': np.float64(10944.118147950214), 'Win Rate': 0.1310013717421125, 'SharpeRatio': np.float64(0.04018847619703254), 'SortinoRatio': np.float64(0.025856015368883087), 'ProfitFactor': np.float64(1.25176442944927), 'MaxDrawdown': np.float64(-0.0)}"
442,Made in USA,"('COMPUSDT', 'FILUSDT')","{'totalReturn': np.float64(1819.1146014918654), 'totalProfitfee': np.float64(1819.1146014918654), 'AnnualizedReturn': np.float64(10929.659745588986), 'Win Rate': 0.16941015089163236, 'SharpeRatio': np.float64(0.03910096379686572), 'SortinoRatio': np.float64(0.027502860633828567), 'ProfitFactor': np.float64(1.2831462032614889), 'MaxDrawdown': np.float64(-0.0)}"
443,Layer 1 (L1),"('BCHUSDT', 'ENJUSDT')","{'totalReturn': np.float64(1810.355885254264), 'totalProfitfee': np.float64(1810.355885254264), 'AnnualizedReturn': np.float64(10877.035359963891), 'Win Rate': 0.30727023319615915, 'SharpeRatio': np.float64(0.015098232425673742), 'SortinoRatio': np.float64(0.016873545688986507), 'ProfitFactor': np.float64(1.0571850074667468), 'MaxDrawdown': np.float64(-0.0)}"
444,Decentralized Finance (DeFi),"('LDOUSDT', 'RUNEUSDT')","{'totalReturn': np.float64(1805.9281260571136), 'totalProfitfee': np.float64(1805.9281260571136), 'AnnualizedReturn': np.float64(10850.432362318461), 'Win Rate': 0.07064471879286695, 'SharpeRatio': np.float64(0.02656471668621611), 'SortinoRatio': np.float64(0.015483821102270432), 'ProfitFactor': np.float64(1.2095816632204142), 'MaxDrawdown': np.float64(-0.0)}"
445,Infrastructure,"('LDOUSDT', 'RUNEUSDT')","{'totalReturn': np.float64(1805.9281260571136), 'totalProfitfee': np.float64(1805.9281260571136), 'AnnualizedReturn': np.float64(10850.432362318461), 'Win Rate': 0.07064471879286695, 'SharpeRatio': np.float64(0.02656471668621611), 'SortinoRatio': np.float64(0.015483821102270432), 'ProfitFactor': np.float64(1.2095816632204142), 'MaxDrawdown': np.float64(-0.0)}"
446,Exchange-based Tokens,"('PERPUSDT', 'RENUSDT')","{'totalReturn': np.float64(1803.3823428561707), 'totalProfitfee': np.float64(1803.3823428561707), 'AnnualizedReturn': np.float64(10835.136710164648), 'Win Rate': 0.28052126200274347, 'SharpeRatio': np.float64(0.02600510832134368), 'SortinoRatio': np.float64(0.029508846592511326), 'ProfitFactor': np.float64(1.1034109335580327), 'MaxDrawdown': np.float64(-0.0)}"
447,Decentralized Finance (DeFi),"('CAKEUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(1802.922859353296), 'totalProfitfee': np.float64(1802.922859353296), 'AnnualizedReturn': np.float64(10832.376027390173), 'Win Rate': 0.13717421124828533, 'SharpeRatio': np.float64(0.031540512519292345), 'SortinoRatio': np.float64(0.04019437368346288), 'ProfitFactor': np.float64(1.27084948549452), 'MaxDrawdown': np.float64(-0.0)}"
448,Decentralized Exchange (DEX),"('CAKEUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(1802.922859353296), 'totalProfitfee': np.float64(1802.922859353296), 'AnnualizedReturn': np.float64(10832.376027390173), 'Win Rate': 0.13717421124828533, 'SharpeRatio': np.float64(0.031540512519292345), 'SortinoRatio': np.float64(0.04019437368346288), 'ProfitFactor': np.float64(1.27084948549452), 'MaxDrawdown': np.float64(-0.0)}"
449,Decentralized Finance (DeFi),"('CAKEUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(1802.9228593532955), 'totalProfitfee': np.float64(1802.9228593532955), 'AnnualizedReturn': np.float64(10832.37602739017), 'Win Rate': 0.13717421124828533, 'SharpeRatio': np.float64(0.03154051251929234), 'SortinoRatio': np.float64(0.040194373683462875), 'ProfitFactor': np.float64(1.27084948549452), 'MaxDrawdown': np.float64(-0.0)}"
450,Decentralized Exchange (DEX),"('CAKEUSDT', 'ZRXUSDT')","{'totalReturn': np.float64(1802.9228593532955), 'totalProfitfee': np.float64(1802.9228593532955), 'AnnualizedReturn': np.float64(10832.37602739017), 'Win Rate': 0.13717421124828533, 'SharpeRatio': np.float64(0.03154051251929234), 'SortinoRatio': np.float64(0.040194373683462875), 'ProfitFactor': np.float64(1.27084948549452), 'MaxDrawdown': np.float64(-0.0)}"
451,Exchange-based Tokens,"('LRCUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1802.383166809557), 'totalProfitfee': np.float64(1802.383166809557), 'AnnualizedReturn': np.float64(10829.1334302138), 'Win Rate': 0.09259259259259259, 'SharpeRatio': np.float64(0.02131914238909708), 'SortinoRatio': np.float64(0.014507329063344876), 'ProfitFactor': np.float64(1.1706591388882832), 'MaxDrawdown': np.float64(-0.0)}"
452,Decentralized Finance (DeFi),"('LRCUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1802.383166809557), 'totalProfitfee': np.float64(1802.383166809557), 'AnnualizedReturn': np.float64(10829.1334302138), 'Win Rate': 0.09259259259259259, 'SharpeRatio': np.float64(0.02131914238909708), 'SortinoRatio': np.float64(0.014507329063344876), 'ProfitFactor': np.float64(1.1706591388882832), 'MaxDrawdown': np.float64(-0.0)}"
453,Decentralized Exchange (DEX),"('LRCUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1802.383166809557), 'totalProfitfee': np.float64(1802.383166809557), 'AnnualizedReturn': np.float64(10829.1334302138), 'Win Rate': 0.09259259259259259, 'SharpeRatio': np.float64(0.02131914238909708), 'SortinoRatio': np.float64(0.014507329063344876), 'ProfitFactor': np.float64(1.1706591388882832), 'MaxDrawdown': np.float64(-0.0)}"
454,Arbitrum Ecosystem,"('LRCUSDT', 'WOOUSDT')","{'totalReturn': np.float64(1802.383166809557), 'totalProfitfee': np.float64(1802.383166809557), 'AnnualizedReturn': np.float64(10829.1334302138), 'Win Rate': 0.09259259259259259, 'SharpeRatio': np.float64(0.02131914238909708), 'SortinoRatio': np.float64(0.014507329063344876), 'ProfitFactor': np.float64(1.1706591388882832), 'MaxDrawdown': np.float64(-0.0)}"
455,BNB Chain Ecosystem,"('1INCHUSDT', 'AXSUSDT')","{'totalReturn': np.float64(1798.8428375062751), 'totalProfitfee': np.float64(1798.8428375062751), 'AnnualizedReturn': np.float64(10807.862315881323), 'Win Rate': 0.28463648834019206, 'SharpeRatio': np.float64(0.01982899281886033), 'SortinoRatio': np.float64(0.02168688003009853), 'ProfitFactor': np.float64(1.091498836643889), 'MaxDrawdown': np.float64(-0.0)}"
