,sector,pair,performance
131,Exchange-based Tokens,"('CRVUSDT', 'LRCUSDT')","{'totalReturn': np.float64(741.9882762973027), 'totalProfitfee': np.float64(726.7072085041978), 'AnnualizedReturn': np.float64(4366.224380313287), 'Win Rate': 0.3484224965706447, 'SharpeRatio': np.float64(0.016314202603025182), 'SortinoRatio': np.float64(0.01901640271708868), 'ProfitFactor': np.float64(1.054532423607205), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012328185578013424)}"
132,Decentralized Finance (DeFi),"('CRVUSDT', 'LRCUSDT')","{'totalReturn': np.float64(741.9882762973027), 'totalProfitfee': np.float64(726.7072085041978), 'AnnualizedReturn': np.float64(4366.224380313287), 'Win Rate': 0.3484224965706447, 'SharpeRatio': np.float64(0.016314202603025182), 'SortinoRatio': np.float64(0.01901640271708868), 'ProfitFactor': np.float64(1.054532423607205), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012328185578013424)}"
133,Decentralized Exchange (DEX),"('CRVUSDT', 'LRCUSDT')","{'totalReturn': np.float64(741.9882762973027), 'totalProfitfee': np.float64(726.7072085041978), 'AnnualizedReturn': np.float64(4366.224380313287), 'Win Rate': 0.3484224965706447, 'SharpeRatio': np.float64(0.016314202603025182), 'SortinoRatio': np.float64(0.01901640271708868), 'ProfitFactor': np.float64(1.054532423607205), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012328185578013424)}"
134,Arbitrum Ecosystem,"('CRVUSDT', 'LRCUSDT')","{'totalReturn': np.float64(741.9882762973027), 'totalProfitfee': np.float64(726.7072085041978), 'AnnualizedReturn': np.float64(4366.224380313287), 'Win Rate': 0.3484224965706447, 'SharpeRatio': np.float64(0.016314202603025182), 'SortinoRatio': np.float64(0.01901640271708868), 'ProfitFactor': np.float64(1.054532423607205), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012328185578013424)}"
135,Energi Ecosystem,"('CRVUSDT', 'LRCUSDT')","{'totalReturn': np.float64(741.9882762973027), 'totalProfitfee': np.float64(726.7072085041978), 'AnnualizedReturn': np.float64(4366.224380313287), 'Win Rate': 0.3484224965706447, 'SharpeRatio': np.float64(0.016314202603025182), 'SortinoRatio': np.float64(0.01901640271708868), 'ProfitFactor': np.float64(1.054532423607205), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012328185578013424)}"
136,Layer 1 (L1),"('DGBUSDT', 'DYDXUSDT')","{'totalReturn': np.float64(-228.16857556757964), 'totalProfitfee': np.float64(-243.2383722623071), 'AnnualizedReturn': np.float64(-1461.4321954854668), 'Win Rate': 0.2681755829903978, 'SharpeRatio': np.float64(-0.004913423088917884), 'SortinoRatio': np.float64(-0.00425217749127043), 'ProfitFactor': np.float64(0.9795471726710121), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012603625303266771)}"
137,Made in USA,"('DGBUSDT', 'DYDXUSDT')","{'totalReturn': np.float64(-228.16857556757964), 'totalProfitfee': np.float64(-243.2383722623071), 'AnnualizedReturn': np.float64(-1461.4321954854668), 'Win Rate': 0.2681755829903978, 'SharpeRatio': np.float64(-0.004913423088917884), 'SortinoRatio': np.float64(-0.00425217749127043), 'ProfitFactor': np.float64(0.9795471726710121), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.012603625303266771)}"
138,Automated Market Maker (AMM),"('IZIUSDT', 'PERPUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.012756020177360388)}"
139,Energi Ecosystem,"('AVAUSDT', 'ENJUSDT')","{'totalReturn': np.float64(103.8897804538554), 'totalProfitfee': np.float64(88.74065091435745), 'AnnualizedReturn': np.float64(533.1742812138349), 'Win Rate': 0.30315500685871055, 'SharpeRatio': np.float64(0.001494845577242489), 'SortinoRatio': np.float64(0.0011845754391955035), 'ProfitFactor': np.float64(1.0071662302700817), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-0.013185958371943621)}"
140,Smart Contract Platform,"('EOSUSDT', 'XLMUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.013519607102952576)}"
141,Made in USA,"('EOSUSDT', 'XLMUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.013519607102952576)}"
