,Profit,Profitfee,cumReturn,Drawdown
2022-08-22 07:00:00+08:00,293.9119110361857,293.9119110361857,521731.2125774583,0.005758405085225221
2022-08-22 08:00:00+08:00,-47.00089224519879,-47.00089224519879,521684.2116852131,0.005847972741791979
2022-08-22 09:00:00+08:00,702.9019412794029,702.9019412794029,522387.1136264925,0.0045084815817483725
2022-08-22 10:00:00+08:00,149.49459796771228,149.49459796771228,522536.6082244602,0.004223595908950914
2022-08-22 11:00:00+08:00,-433.10481927622016,-433.10481927622016,522103.503405184,0.0050489458514148405
2022-08-22 12:00:00+08:00,162.25150609659943,162.25150609659943,522265.75491128064,0.004739749866375162
2022-08-22 13:00:00+08:00,61.9490449161571,61.9490449161571,522327.7039561968,0.004621696133464321
2022-08-22 14:00:00+08:00,45.1338099050687,45.1338099050687,522372.8377661019,0.004535686498497434
2022-08-22 15:00:00+08:00,156.90878749136235,156.90878749136235,522529.74655359326,0.004236671911348473
2022-08-22 16:00:00+08:00,211.6765859379635,211.6765859379635,522741.4231395312,0.003833288595695621
2022-08-22 17:00:00+08:00,779.6022709922183,779.6022709922183,523521.02541052346,0.002347632789363297
2022-08-22 18:00:00+08:00,602.5027425657961,602.5027425657961,524123.5281530893,0.0011994682301646636
2022-08-22 19:00:00+08:00,-13.659058580948537,-13.659058580948537,524109.86909450835,0.0012254977332136568
2022-08-22 20:00:00+08:00,-212.06957549622362,-212.06957549622362,523897.7995190121,0.0016296299528151211
2022-08-22 21:00:00+08:00,-29.2847631972685,-29.2847631972685,523868.51475581486,0.0016854367149294399
2022-08-22 22:00:00+08:00,-306.98407537969643,-306.98407537969643,523561.5306804352,0.0022704435716422943
2022-08-22 23:00:00+08:00,359.9556585268276,359.9556585268276,523921.486338962,0.0015844909596368336
2022-08-23 00:00:00+08:00,2178.1506769853704,2178.1506769853704,526099.6370159474,-0.0
2022-08-23 01:00:00+08:00,169.30141795198912,169.30141795198912,526268.9384338993,-0.0
2022-08-23 02:00:00+08:00,-781.4457817590579,-781.4457817590579,525487.4926521402,0.001484879164794664
2022-08-23 03:00:00+08:00,7.547795080028298,7.547795080028298,525495.0404472202,0.0014705370774534294
2022-08-23 04:00:00+08:00,361.3779004347124,341.16453648169283,525836.2049837019,0.0008222667510743355
2022-08-23 05:00:00+08:00,-326.61952446359226,-326.61952446359226,525509.5854592384,0.0014428990943692263
2022-08-23 06:00:00+08:00,352.47472439537137,352.47472439537137,525862.0601836337,0.000773137497866436
2022-08-23 07:00:00+08:00,-1.8337448516424502,-1.8337448516424502,525860.2264387821,0.0007766219232575611
2022-08-23 08:00:00+08:00,-115.68178008747219,-115.68178008747219,525744.5446586945,0.0009964368726858536
2022-08-23 09:00:00+08:00,29.338598247001983,29.338598247001983,525773.8832569416,0.000940688573471496
2022-08-23 10:00:00+08:00,649.9249511573199,649.9249511573199,526423.8082080989,-0.0
2022-08-23 11:00:00+08:00,126.84196446841182,126.84196446841182,526550.6501725672,-0.0
2022-08-23 12:00:00+08:00,-278.7686529034431,-278.7686529034431,526271.8815196637,0.0005294241927384135
2022-08-23 13:00:00+08:00,260.4353414573852,260.4353414573852,526532.3168611211,3.4817754835397274e-05
2022-08-23 14:00:00+08:00,-140.4470117338457,-140.4470117338457,526391.8698493872,0.0003015480526478953
2022-08-23 15:00:00+08:00,126.3266915129385,126.3266915129385,526518.1965409002,6.163439672220507e-05
2022-08-23 16:00:00+08:00,293.81219551398146,293.81219551398146,526812.0087364141,-0.0
2022-08-23 17:00:00+08:00,103.69782833103343,103.69782833103343,526915.7065647452,-0.0
2022-08-23 18:00:00+08:00,448.693427884252,448.693427884252,527364.3999926294,-0.0
2022-08-23 19:00:00+08:00,-553.0671728287703,-553.0671728287703,526811.3328198007,0.0010487381644199766
2022-08-23 20:00:00+08:00,-47.03206412202077,-47.03206412202077,526764.3007556787,0.0011379214011395745
2022-08-23 21:00:00+08:00,237.18343863775243,226.8670312887136,526991.1677869674,0.0007077311355625785
2022-08-23 22:00:00+08:00,-92.58185445226293,-92.58185445226293,526898.5859325151,0.0008832868887638878
2022-08-23 23:00:00+08:00,-968.1038340137818,-968.1038340137818,525930.4820985013,0.0027190267188080364
2022-08-24 00:00:00+08:00,528.4930903132666,528.4930903132666,526458.9751888146,0.0017168864713422165
2022-08-24 01:00:00+08:00,111.74673052212316,111.74673052212316,526570.7219193367,0.0015049898576843777
2022-08-24 02:00:00+08:00,355.12741149742595,355.12741149742595,526925.8493308341,0.0008315894319021842
2022-08-24 03:00:00+08:00,-57.89528512239054,-57.89528512239054,526867.9540457117,0.0009413717477415828
2022-08-24 04:00:00+08:00,564.7479191361256,564.7479191361256,527432.7019648477,-0.0
2022-08-24 05:00:00+08:00,-472.7939422935462,-472.7939422935462,526959.9080225542,0.0008964061965293388
2022-08-24 06:00:00+08:00,-67.76142832946749,-67.76142832946749,526892.1465942247,0.0010248802711877352
2022-08-24 07:00:00+08:00,-654.5030877462225,-654.5030877462225,526237.6435064785,0.0022658027344858744
2022-08-24 08:00:00+08:00,398.2591202518124,398.2591202518124,526635.9026267304,0.0015107128078123287
2022-08-24 09:00:00+08:00,1424.0143766026229,1424.0143766026229,528059.917003333,-0.0
2022-08-24 10:00:00+08:00,312.75864942552903,312.75864942552903,528372.6756527586,-0.0
2022-08-24 11:00:00+08:00,216.14142106835834,216.14142106835834,528588.8170738269,-0.0
2022-08-24 12:00:00+08:00,97.37482203513112,97.37482203513112,528686.191895862,-0.0
2022-08-24 13:00:00+08:00,206.76135296507852,206.76135296507852,528892.953248827,-0.0
2022-08-24 14:00:00+08:00,0.26740587706438745,0.26740587706438745,528893.220654704,-0.0
