TodayBalance,YesBalance,buy,date,name,Return,sell
15504733,15442879,1409114,2010-01-04,MarginPurchase,7818,1339442
832279,813264,40083,2010-01-04,ShortSale,2722,61820
261712044000,260349989000,25201431000,2010-01-04,MarginPurchaseMoney,100554000,23738822000
823354,832279,51342,2010-01-05,ShortSale,8661,51078
261344911000,261711987000,26880993000,2010-01-05,MarginPurchaseMoney,111406000,27136663000
15435694,15504725,1390785,2010-01-05,MarginPurchase,5948,1453868
847535,823354,38834,2010-01-06,ShortSale,6186,69201
264615436000,261344993000,24534510000,2010-01-06,MarginPurchaseMoney,156496000,21107571000
15528971,15435694,1282865,2010-01-06,MarginPurchase,9144,1180443
847581,847535,58468,2010-01-07,ShortSale,7883,66397
15453751,15528979,1378719,2010-01-07,MarginPurchase,9150,1444797
263404549000,264615862000,24805101000,2010-01-07,MarginPurchaseMoney,147093000,25869321000
850873,847594,56075,2010-01-08,ShortSale,7579,66933
265475882000,263406184000,20086440000,2010-01-08,MarginPurchaseMoney,242906000,17773836000
15546477,15453895,1134174,2010-01-08,MarginPurchase,13904,1027688
15669849,15546455,1258334,2010-01-11,MarginPurchase,7070,1127870
858353,850823,39020,2010-01-11,ShortSale,8307,54857
267652256000,265475882000,21094339000,2010-01-11,MarginPurchaseMoney,120384000,18797581000
15709688,15669849,1073759,2010-01-12,MarginPurchase,10347,1023573
834601,858353,54326,2010-01-12,ShortSale,14116,44690
269515094000,267652256000,19843052000,2010-01-12,MarginPurchaseMoney,147625000,17832589000
15707160,15709673,935125,2010-01-13,MarginPurchase,6871,930767
800569,834603,62649,2010-01-13,ShortSale,12006,40621
270901923000,269514850000,18363776000,2010-01-13,MarginPurchaseMoney,101773000,16874930000
272322023000,270901923000,19973582000,2010-01-14,MarginPurchaseMoney,149025000,18404457000
15740956,15707158,976781,2010-01-14,MarginPurchase,7092,935892
811206,800569,33511,2010-01-14,ShortSale,10921,55069
15804314,15740951,1237666,2010-01-15,MarginPurchase,15007,1159296
832925,811206,40001,2010-01-15,ShortSale,6626,68346
273690462000,272320598000,24141145000,2010-01-15,MarginPurchaseMoney,229334000,22541947000
15868668,15804303,1122386,2010-01-18,MarginPurchase,9032,1048988
275979183000,273691917000,20827738000,2010-01-18,MarginPurchaseMoney,171675000,18368797000
831157,832925,43822,2010-01-18,ShortSale,8742,50796
15678082,15738231,1149218,2010-01-19,MarginPurchase,9397,1199970
275481684000,275553648000,21920428000,2010-01-19,MarginPurchaseMoney,147613000,21844779000
794632,831117,70099,2010-01-19,ShortSale,7758,41372
781301,794632,46205,2010-01-20,ShortSale,8273,41147
15697790,15678198,921020,2010-01-20,MarginPurchase,6852,894577
276245020000,275482345000,17482210000,2010-01-20,MarginPurchaseMoney,130650000,16588884000
751594,781291,62099,2010-01-21,ShortSale,6183,38585
15613306,15687307,802767,2010-01-21,MarginPurchase,10167,866601
275031181000,276048531000,15321661000,2010-01-21,MarginPurchaseMoney,174859000,16164152000
702134,751592,87166,2010-01-22,ShortSale,6201,43909
274705970000,275032243000,15582870000,2010-01-22,MarginPurchaseMoney,321016000,15588128000
15527184,15613313,770291,2010-01-22,MarginPurchase,18072,838347
273839653000,274703310000,12301438000,2010-01-25,MarginPurchaseMoney,262310000,12902785000
684550,702134,54229,2010-01-25,ShortSale,8959,45604
15505572,15527184,619350,2010-01-25,MarginPurchase,12950,628013
623312,684550,104238,2010-01-26,ShortSale,7593,50593
267163949000,273841409000,16916700000,2010-01-26,MarginPurchaseMoney,448536000,23145624000
15177038,15505515,877989,2010-01-26,MarginPurchase,23132,1183333
264341709000,267163910000,11958350000,2010-01-27,MarginPurchaseMoney,647588000,14132963000
609970,623312,69294,2010-01-27,ShortSale,5035,60987
15078777,15177038,584178,2010-01-27,MarginPurchase,23482,658957
633896,609970,49464,2010-01-28,ShortSale,11453,84843
265194179000,264341561000,12950158000,2010-01-28,MarginPurchaseMoney,451419000,11646121000
15151247,15078768,663946,2010-01-28,MarginPurchase,19510,571957
264643741000,265186511000,11445083000,2010-01-29,MarginPurchaseMoney,301005000,11686848000
15137851,15151247,577774,2010-01-29,MarginPurchase,13851,577319
620381,633895,63454,2010-01-29,ShortSale,5161,55101
15202772,15137871,489298,2010-02-01,MarginPurchase,11013,413385
619161,620381,45392,2010-02-01,ShortSale,3771,47943
266081111000,264651295000,9565525000,2010-02-01,MarginPurchaseMoney,245725000,7889984000
262778494000,266081706000,10611224000,2010-02-02,MarginPurchaseMoney,386830000,13527606000
15054260,15202823,542254,2010-02-02,MarginPurchase,21498,669319
604105,619161,59089,2010-02-02,ShortSale,9066,53099
15165758,15163355,512474,2010-02-03,MarginPurchase,19600,490470
612084,604098,51648,2010-02-03,ShortSale,4745,64379
262489339000,263114110000,9897364000,2010-02-03,MarginPurchaseMoney,392800000,10129335000
614862,612084,38025,2010-02-04,ShortSale,2730,43533
263046087000,262489339000,8703735000,2010-02-04,MarginPurchaseMoney,250509000,7896478000
15201203,15165751,446327,2010-02-04,MarginPurchase,11345,399530
14863227,15201201,598105,2010-02-05,MarginPurchase,25748,910330
256681142000,263047139000,11034688000,2010-02-05,MarginPurchaseMoney,592958000,16807727000
583243,614862,92825,2010-02-05,ShortSale,5178,66384
551797,583243,80720,2010-02-06,ShortSale,4430,53704
14636469,14863224,526971,2010-02-06,MarginPurchase,37535,716191
251067546000,256680977000,9022083000,2010-02-06,MarginPurchaseMoney,877736000,13757778000
14648510,14646797,399645,2010-02-08,MarginPurchase,26544,371388
562614,551797,41068,2010-02-08,ShortSale,4090,55975
250612403000,251277404000,7463555000,2010-02-08,MarginPurchaseMoney,703992000,7424564000
14589765,14656398,457396,2010-02-09,MarginPurchase,35879,488150
249048415000,250671937000,8677689000,2010-02-09,MarginPurchaseMoney,726779000,9574432000
539997,562650,54171,2010-02-09,ShortSale,25736,57254
528710,539997,50009,2010-02-10,ShortSale,5459,44181
246411897000,249054996000,10268327000,2010-02-10,MarginPurchaseMoney,814238000,12097188000
14453905,14589932,532173,2010-02-10,MarginPurchase,39657,628543
246744740000,245893029000,10144265000,2010-02-22,MarginPurchaseMoney,140331000,9152223000
14472254,14426198,520288,2010-02-22,MarginPurchase,9670,464563
551076,525505,24899,2010-02-22,ShortSale,3254,53724
572152,551076,34746,2010-02-23,ShortSale,1052,56874
14556297,14472249,466720,2010-02-23,MarginPurchase,4644,378028
248591035000,246744740000,9399441000,2010-02-23,MarginPurchaseMoney,85407000,7467739000
577412,572152,36211,2010-02-24,ShortSale,444,41915
14634384,14556294,475419,2010-02-24,MarginPurchase,7187,390142
250538185000,248591035000,9413173000,2010-02-24,MarginPurchaseMoney,110677000,7355346000
251699726000,250538185000,10899679000,2010-02-25,MarginPurchaseMoney,106459000,9631679000
14689423,14634382,564597,2010-02-25,MarginPurchase,6790,502767
590436,577412,37999,2010-02-25,ShortSale,1013,52036
14720045,14689421,432232,2010-02-26,MarginPurchase,10003,391605
594554,590438,42808,2010-02-26,ShortSale,700,47624
252624840000,251698021000,8622217000,2010-02-26,MarginPurchaseMoney,171086000,7524312000
595378,594554,48795,2010-03-01,ShortSale,1296,50915
252749047000,252626548000,11060329000,2010-03-01,MarginPurchaseMoney,117849000,10819981000
14741762,14720043,585189,2010-03-01,MarginPurchase,6523,556947
14748595,14741761,561144,2010-03-02,MarginPurchase,7450,546861
597735,595378,32924,2010-03-02,ShortSale,569,35850
252940737000,252748909000,11597323000,2010-03-02,MarginPurchaseMoney,126033000,11279462000
14760237,14748595,544682,2010-03-03,MarginPurchase,6624,526416
253348027000,252940668000,10400895000,2010-03-03,MarginPurchaseMoney,105969000,9887567000
619597,597735,22797,2010-03-03,ShortSale,950,45609
14802730,14760103,639320,2010-03-04,MarginPurchase,6387,590306
254177488000,253347944000,11590665000,2010-03-04,MarginPurchaseMoney,87856000,10673265000
620247,619602,38018,2010-03-04,ShortSale,1575,40238
14781517,14802728,547843,2010-03-05,MarginPurchase,8658,560396
633381,620242,29867,2010-03-05,ShortSale,1859,44865
253983398000,254177488000,10268649000,2010-03-05,MarginPurchaseMoney,123011000,10339728000
252080636000,253058446000,12472018000,2010-03-08,MarginPurchaseMoney,69377000,13380451000
647788,633551,34088,2010-03-08,ShortSale,1521,49846
14616368,14657194,616947,2010-03-08,MarginPurchase,5039,652733
14580591,14610275,528388,2010-03-09,MarginPurchase,5541,552531
251670339000,251982056000,10850502000,2010-03-09,MarginPurchaseMoney,103701000,11058518000
650050,647375,30131,2010-03-09,ShortSale,2367,35173
251517094000,251670339000,10814832000,2010-03-10,MarginPurchaseMoney,102076000,10866001000
649537,650050,29167,2010-03-10,ShortSale,2876,31530
14567943,14580590,540556,2010-03-10,MarginPurchase,5621,547582
14569776,14567943,562275,2010-03-11,MarginPurchase,5918,554524
652687,649537,29626,2010-03-11,ShortSale,2833,35609
251942737000,251517105000,11255956000,2010-03-11,MarginPurchaseMoney,130520000,10699804000
252362193000,251942696000,8812986000,2010-03-12,MarginPurchaseMoney,113388000,8280101000
14573262,14569771,433466,2010-03-12,MarginPurchase,7784,422190
652963,652686,29602,2010-03-12,ShortSale,3208,33087
14579482,14573241,480333,2010-03-15,MarginPurchase,4253,469839
640714,652963,38358,2010-03-15,ShortSale,2536,28645
252581446000,252362437000,9408049000,2010-03-15,MarginPurchaseMoney,82870000,9106170000
253793426000,252581209000,7792217000,2010-03-16,MarginPurchaseMoney,101794000,6478207000
14629001,14579463,405837,2010-03-16,MarginPurchase,6792,349507
642867,640713,33405,2010-03-16,ShortSale,1435,36994
252972189000,253793791000,12026026000,2010-03-17,MarginPurchaseMoney,72562000,12775066000
14592373,14629014,620900,2010-03-17,MarginPurchase,4642,652899
652854,642858,32574,2010-03-17,ShortSale,4917,47487
254014777000,253861229000,15903310000,2010-03-18,MarginPurchaseMoney,129256000,15620506000
14599209,14583762,834167,2010-03-18,MarginPurchase,6812,811909
618225,652834,42506,2010-03-18,ShortSale,47217,55114
594968,601132,39141,2010-03-19,ShortSale,7034,40011
255460974000,254014777000,14606670000,2010-03-19,MarginPurchaseMoney,234613000,12925860000
14673754,14618635,754048,2010-03-19,MarginPurchase,15471,683459
14729480,14670793,747154,2010-03-22,MarginPurchase,9062,679404
589822,595650,39634,2010-03-22,ShortSale,3899,37705
257848293000,255807070000,14794379000,2010-03-22,MarginPurchaseMoney,135109000,12618047000
258659722000,257814389000,16413745000,2010-03-23,MarginPurchaseMoney,116388000,15452025000
14717036,14729357,815011,2010-03-23,MarginPurchase,7266,820066
572840,589750,42533,2010-03-23,ShortSale,5388,31011
14742593,14717032,743425,2010-03-24,MarginPurchase,4499,713365
567786,572838,35564,2010-03-24,ShortSale,5029,35541
259579485000,258660274000,14134006000,2010-03-24,MarginPurchaseMoney,86869000,13127926000
552135,567786,46269,2010-03-25,ShortSale,2861,33479
260796519000,259547421000,12074024000,2010-03-25,MarginPurchaseMoney,146018000,10678908000
14812000,14741729,629300,2010-03-25,MarginPurchase,9855,549174
260747409000,260717307000,13256378000,2010-03-26,MarginPurchaseMoney,110845000,13115431000
14797227,14797063,631516,2010-03-26,MarginPurchase,5153,626199
540953,552135,38705,2010-03-26,ShortSale,4837,32360
260765398000,260746185000,15284874000,2010-03-29,MarginPurchaseMoney,82805000,15182856000
14794464,14797208,727325,2010-03-29,MarginPurchase,5125,724944
523876,540953,37257,2010-03-29,ShortSale,8112,28292
260660489000,260766484000,14323026000,2010-03-30,MarginPurchaseMoney,136720000,14292301000
14781460,14795797,686245,2010-03-30,MarginPurchase,9439,691143
501652,522352,36413,2010-03-30,ShortSale,8535,24248
14760176,14782203,658024,2010-03-31,MarginPurchase,8642,671410
260520882000,260692577000,13634764000,2010-03-31,MarginPurchaseMoney,141625000,13664834000
467444,501652,41493,2010-03-31,ShortSale,20565,27850
260846469000,260478216000,16615857000,2010-04-01,MarginPurchaseMoney,94576000,16153029000
432571,467444,57178,2010-04-01,ShortSale,7439,29744
14789777,14760170,856683,2010-04-01,MarginPurchase,6527,820549
260777790000,260846322000,14678374000,2010-04-02,MarginPurchaseMoney,163897000,14583009000
419592,432571,37167,2010-04-02,ShortSale,4657,28845
14764299,14789779,710953,2010-04-02,MarginPurchase,9982,726451
14722717,14794700,725579,2010-04-06,MarginPurchase,8190,789372
400634,419574,39488,2010-04-06,ShortSale,7096,27644
259257996000,260861544000,15179447000,2010-04-06,MarginPurchaseMoney,150401000,16632594000
14719629,14728454,729546,2010-04-07,MarginPurchase,12875,725495
259553431000,259298629000,15595832000,2010-04-07,MarginPurchaseMoney,183533000,15157497000
359744,400633,53142,2010-04-07,ShortSale,8825,21078
260558809000,259631990000,19887174000,2010-04-08,MarginPurchaseMoney,91112000,18869243000
288274,359744,87325,2010-04-08,ShortSale,19264,35119
14760209,14733183,989079,2010-04-08,MarginPurchase,5847,956207
216995,288274,83415,2010-04-09,ShortSale,12200,24336
261104291000,260557291000,13709005000,2010-04-09,MarginPurchaseMoney,206023000,12955983000
14743349,14760217,683230,2010-04-09,MarginPurchase,13880,686218
14613013,14743344,556181,2010-04-12,MarginPurchase,11232,675280
183192,216995,52959,2010-04-12,ShortSale,4963,24119
258807810000,261106133000,10460730000,2010-04-12,MarginPurchaseMoney,158213000,12600840000
176496,183190,19936,2010-04-13,ShortSale,4764,18006
255136375000,258808348000,7084376000,2010-04-13,MarginPurchaseMoney,143061000,10613288000
14404924,14613018,396515,2010-04-13,MarginPurchase,13115,591494
254931398000,255136375000,8801502000,2010-04-14,MarginPurchaseMoney,102789000,8903690000
181532,176446,18925,2010-04-14,ShortSale,6889,30900
14368506,14404920,471235,2010-04-14,MarginPurchase,5467,502182
14537838,14368504,966053,2010-04-15,MarginPurchase,8537,788182
257990506000,254931398000,17838629000,2010-04-15,MarginPurchaseMoney,255426000,14524095000
197841,181532,18247,2010-04-15,ShortSale,13025,47581
261559567000,257990506000,16989404000,2010-04-16,MarginPurchaseMoney,112346000,13307997000
201177,197838,36877,2010-04-16,ShortSale,13287,53503
14718141,14537836,912913,2010-04-16,MarginPurchase,7683,724925
165513,201177,68853,2010-04-19,ShortSale,3587,36776
14551578,14718243,813508,2010-04-19,MarginPurchase,5055,975117
258251048000,261560204000,15157944000,2010-04-19,MarginPurchaseMoney,84622000,18382478000
205508,165513,22236,2010-04-20,ShortSale,1811,64042
14559413,14551581,537336,2010-04-20,MarginPurchase,7440,522064
259017748000,258251156000,10796975000,2010-04-20,MarginPurchaseMoney,124518000,9905865000
234133,205504,22202,2010-04-21,ShortSale,427,51258
259420883000,259017528000,12739627000,2010-04-21,MarginPurchaseMoney,101920000,12234352000
14567586,14559404,608276,2010-04-21,MarginPurchase,6819,593275
244543,234133,29675,2010-04-22,ShortSale,1193,41278
