,futures_id,contract_date,monthly_group,Open,High,Low,Close,spread,spread_per,Volume,settlement_price,open_interest,trading_session,futures_id_a,contract_date_a,monthly_group_a,Open_a,High_a,Low_a,Close_a,spread_a,spread_per_a,Volume_a,settlement_price_a,open_interest_a,trading_session_a,daily_ret,cum_daily_ret,daily_pnl,cum_daily_pnl,daily_ret_a,cum_daily_ret_a,daily_pnl_a,cum_daily_pnl_a,Foreign_Opt_Signal,Dealer_Opt_Signal,Foreign_Opt_Signal_a,MOVE_open,MOVE_high,MOVE_low,MOVE_close,SOX_open,SOX_high,SOX_low,SOX_close,SOX_ind,MOVE_ind,MOVE_vol,3_ma,divergence,3_ma_v2,divergence_v2,gap,gap_v2,pos_night,pos_day,strat_ret,benchmark_ret,cum_strat,cum_bnh
2026-03-02,TX,202603,2026-03-18,34744.0,35495.0,34722.0,35232.0,-379.0,-1.06,83451.0,35238.0,81723.0,position,TX,202603,2026-03-18,35638.0,35879.0,34910.0,35086.0,-525.0,-1.47,82188.0,0.0,0.0,after_market,0.01404559060557209,0.1705510830242356,355.0,4572.0,-0.015489084684886967,0.818873724264872,-894.0,13594.0,-0.0013030849826559795,-0.023816363598191163,-0.0014739311035036398,62.4307,63.9278,62.4307,63.9278,8036.838,8139.9914,8009.2518,8098.3708,-0.024481709719313516,0.023980189233822502,,,,,,,,0.0,1.0,355.0,355.0,355.0,355.0
2026-03-03,TX,202603,2026-03-18,35018.0,35320.0,34314.0,34325.0,-913.0,-2.59,112098.0,34331.0,81924.0,position,TX,202603,2026-03-18,35099.0,35366.0,34621.0,35175.0,-63.0,-0.18,93330.0,0.0,0.0,after_market,-0.01978982237706317,0.15076126064717243,-699.0,3879.0,0.0021653038548106185,0.8210390281196827,-81.0,13670.0,-0.015827046454419444,-0.011782193515205121,0.0020804587619038116,73.3823,73.3823,73.2091,73.2091,7919.8711,8144.2991,7908.7641,8137.3571,0.007656344447903418,-0.0023602421837417564,0.023980189233822502,,,,,-0.0016178474114441066,-0.006074023614895507,0.0,1.0,-699.0,-699.0,-344.0,-344.0
2026-03-04,TX,202603,2026-03-18,33461.0,33666.0,32679.0,32834.0,-1497.0,-4.36,153854.0,32871.0,80836.0,position,TX,202603,2026-03-18,34319.0,34444.0,32834.0,33548.0,-783.0,-2.28,148908.0,0.0,0.0,after_market,-0.018738232569259772,0.13202302807791266,-562.0,3252.0,-0.02246568955971906,0.7985733385599636,-858.0,12899.0,0.00017128608362582137,-0.04702856379641603,-0.008288045194805348,73.2091,77.7457,73.2091,77.7457,7806.3017,7855.9237,7673.0774,7764.8824,0.02746080046681576,0.06196770620045866,0.0023658261063173036,34603.0,-0.030488685952085093,34130.333333333336,,-0.022636562272396188,-0.025171158048069908,0.0,-1.0,562.0,-562.0,218.0,-906.0
2026-03-05,TX,202603,2026-03-18,33911.0,34294.0,33392.0,33639.0,768.0,2.34,117939.0,33666.0,77062.0,position,TX,202603,2026-03-18,32899.0,33845.0,32804.0,33735.0,864.0,2.63,90497.0,0.0,0.0,after_market,-0.008020996136946734,0.12400203194096593,-216.0,2980.0,0.02541110672056912,0.8239844452805327,1012.0,13735.0,0.0003667318812783776,0.0169635806819812,0.00673222135473504,77.7457,77.7457,70.0322,70.0322,7891.2811,7959.8502,7807.2637,7914.4777,-0.005305879991801987,-0.0992144903190787,0.06196770620045866,34152.666666666664,-0.01222940131566097,33599.333333333336,-0.03798185387387565,0.027441067186453116,0.03280136443930082,0.0,1.0,-216.0,-216.0,2.0,-1122.0
2026-03-06,TX,202603,2026-03-18,33360.0,33888.0,33296.0,33704.0,38.0,0.11,78813.0,33703.0,77462.0,position,TX,202603,2026-03-18,33695.0,33799.0,32820.0,33288.0,-378.0,-1.12,135936.0,0.0,0.0,after_market,0.010311750599520275,0.1343137825404862,349.0,3324.0,-0.012078943463421865,0.8119055018171109,-335.0,13328.0,-0.0026062111869300454,-0.0011461044702290866,-0.0019402376411168272,70.0322,74.53,70.0322,74.53,7875.9353,7965.3083,7660.6987,7821.761,0.0029395227094368703,0.06422474233281261,0.11014219173465922,33523.666666666664,-0.007029859502242108,33392.333333333336,0.0011805789797416644,-0.010434317310264896,-0.008293944528672048,0.0,1.0,349.0,349.0,351.0,-773.0
2026-03-09,TX,202603,2026-03-18,31730.0,32111.0,31124.0,31786.0,-1917.0,-5.69,117924.0,31902.0,73763.0,position,TX,202603,2026-03-18,33709.0,33792.0,32494.0,32673.0,-1030.0,-3.06,118813.0,0.0,0.0,after_market,0.0017648912700913844,0.1360786738105776,175.0,3380.0,-0.030733631967723718,0.7811718698493871,-1979.0,12292.0,-0.020363346720313844,-0.030168581367692987,-0.004635011860781388,74.53,81.2624,74.53,81.2624,7627.6781,7776.7236,7466.4658,7514.7361,-0.00687845924788133,0.09033141017040114,0.06422474233281261,33232.0,-0.016821136254212776,33043.0,0.00933347974085863,-0.030589840968431092,-0.05856871587942081,0.0,-1.0,-175.0,175.0,176.0,-598.0
2026-03-10,TX,202603,2026-03-18,33242.0,33329.0,32374.0,32696.0,794.0,2.49,106333.0,32717.0,72741.0,position,TX,202603,2026-03-18,31905.0,33530.0,31756.0,33414.0,1512.0,4.74,90480.0,0.0,0.0,after_market,-0.01642500451236384,0.11965366929821375,-471.0,2834.0,0.04729666196520932,0.8284685318145965,1337.0,13801.0,-0.00036893453734487797,-0.0020860039174967074,0.013482776503052947,74.53,81.2624,74.53,79.7447,7388.3305,7826.4855,7363.1702,7810.3995,-0.01480686501440065,0.06996779820206611,0.09033141017040114,33125.0,0.008724528301886858,32728.666666666668,-0.03804134007202731,0.05121751714591327,0.045806329830743175,0.0,1.0,-471.0,-471.0,-295.0,-1069.0
2026-03-11,TX,202603,2026-03-18,33341.0,34185.0,33277.0,33985.0,1268.0,3.88,79384.0,34004.0,77678.0,position,TX,202603,2026-03-18,32771.0,33499.0,32711.0,33105.0,388.0,1.19,104350.0,0.0,0.0,after_market,0.019315557421792917,0.13896922672000667,601.0,3478.0,0.010191937993958122,0.8386604698085546,570.0,14135.0,0.004759361416457942,0.02495476938420115,-0.00187474502394091,79.7447,79.7447,76.3332,76.3332,7846.5293,8017.0636,7831.1113,7865.1189,0.05712643742723755,-0.04278027254475836,0.09033141017040114,33064.0,0.0012400193563997242,32822.333333333336,-0.0009981056362414753,0.012509175434303854,0.019727183753364352,0.0,1.0,601.0,601.0,306.0,-468.0
2026-03-12,TX,202603,2026-03-18,33678.0,33939.0,33326.0,33530.0,-474.0,-1.39,78520.0,33512.0,74241.0,position,TX,202603,2026-03-18,33942.0,34006.0,33515.0,33707.0,-297.0,-0.87,87152.0,0.0,0.0,after_market,-0.0043945602470455425,0.13457466647296112,-48.0,3330.0,-0.006923575511166069,0.8317368942973885,-264.0,13900.0,-0.00877760013618891,-0.01294700711077711,-0.001611210496478558,76.3332,78.5938,76.3332,78.5938,7918.2754,8002.9357,7881.1729,7914.5648,0.002369149376655111,0.029614898890653052,0.04469221780300048,33408.666666666664,0.008929818609941576,33403.666666666664,0.035423035128520075,-0.008180079446814759,-0.009033397086950168,0.0,1.0,-48.0,-48.0,258.0,-516.0
2026-03-13,TX,202603,2026-03-18,32664.0,33518.0,32663.0,33315.0,-197.0,-0.59,84529.0,33304.0,70549.0,position,TX,202603,2026-03-18,33630.0,33840.0,32442.0,32442.0,-1070.0,-3.19,98937.0,0.0,0.0,after_market,0.019930198383541597,0.15450486485650272,349.0,3981.0,-0.0353256021409456,0.7964112921564429,-966.0,12712.0,0.003803030107739392,-0.007737333748098299,0.0015133447520759707,78.5938,95.2977,78.5938,95.2977,7771.4878,7805.2496,7612.8739,7643.1733,-0.00046861214248750116,0.2125345765187585,0.029614898890653052,33084.666666666664,-0.01942490982731171,33610.0,0.003782019937931036,-0.03244855353414855,-0.025827617059349883,0.0,1.0,349.0,349.0,607.0,-167.0
2026-03-16,TX,202603,2026-03-18,33460.0,33723.0,33077.0,33250.0,-54.0,-0.16,107940.0,33264.0,43657.0,position,TX,202603,2026-03-18,33013.0,33663.0,32680.0,32815.0,-489.0,-1.47,105955.0,0.0,0.0,after_market,-0.006276150627615107,0.14822871422888761,-90.0,3771.0,-0.005997637294399172,0.7904136548620437,447.0,12514.0,0.01316298187368527,-0.03547117626065288,-0.0009732082196906292,95.2977,95.2977,91.1698,91.1698,7744.0065,7818.9933,7617.9808,7646.6357,-0.016510931150146013,-0.04331584078104733,0.2125345765187585,32988.0,-0.005244331271977654,33365.0,-0.008777149657839933,-0.01500825453999699,0.004352393816599021,0.0,1.0,-90.0,-90.0,517.0,-257.0
2026-03-17,TX,202603,2026-03-18,33616.0,34017.0,33593.0,33795.0,531.0,1.6,77658.0,33801.0,24545.0,position,TX,202603,2026-03-18,33370.0,33889.0,33100.0,33685.0,421.0,1.27,57485.0,0.0,0.0,after_market,0.005324845311756254,0.15355355954064387,-2.0,3950.0,0.009439616421935915,0.7998532712839796,246.0,12829.0,-0.002256620267224533,0.04026681076415727,0.00043234314474383185,91.1698,91.1698,85.246,85.246,7846.2855,7896.7701,7762.0643,7796.2442,-0.012573698123833021,-0.06497546336615856,0.04527705446321062,32980.666666666664,0.02135594590770351,33453.333333333336,-0.003446725610669832,0.013082706766917251,0.011007518796992466,0.0,1.0,-2.0,-2.0,515.0,-259.0
2026-03-18,TX,202603,2026-03-18,34266.0,34440.0,34100.0,34263.0,462.0,1.37,36612.0,0.0,13354.0,position,TX,202603,2026-03-18,33614.0,34225.0,33502.0,34101.0,300.0,0.89,46685.0,0.0,0.0,after_market,-8.755034144636298e-05,0.1534660091991975,294.0,3947.0,0.014488010947819374,0.814341282231799,652.0,13316.0,-0.042155191930199426,0.018533982061093763,-0.0095002467634668,85.246,85.246,79.2295,79.2295,7828.7677,7866.5859,7763.8645,7836.827,-0.006377705730947425,-0.07057809164066342,0.06949065058771087,33533.666666666664,0.016918320891442518,33769.333333333336,0.010213232363491365,0.00905459387483365,0.013936972924988966,0.0,1.0,294.0,294.0,809.0,35.0
