,TodayBalance,YesBalance,buy,date,name,Return,sell
76,133245455000,132634590000,5900018000,2020-02-17,MarginPurchaseMoney,86420000,5202733000
77,6971074,6994914,204524,2020-02-17,MarginPurchase,6065,222299
78,746204,742652,27041,2020-02-18,ShortSale,934,31527
79,134695869000,133245455000,7053985000,2020-02-18,MarginPurchaseMoney,61154000,5542416000
80,7006394,6971074,233548,2020-02-18,MarginPurchase,3038,195190
81,135306401000,134695869000,5846225000,2020-02-19,MarginPurchaseMoney,138028000,5097665000
82,6989335,7006391,218399,2020-02-19,MarginPurchase,10196,225259
83,738882,746204,39497,2020-02-19,ShortSale,1154,33329
84,135469063000,135306401000,6047024000,2020-02-20,MarginPurchaseMoney,63543000,5820819000
85,6987662,6989333,235540,2020-02-20,MarginPurchase,4198,233013
86,740047,738882,21091,2020-02-20,ShortSale,7132,29388
87,135057110000,135469063000,5178576000,2020-02-21,MarginPurchaseMoney,124034000,5466495000
88,739473,740047,31642,2020-02-21,ShortSale,5823,36891
89,6948224,6987659,212276,2020-02-21,MarginPurchase,5756,245955
90,6944807,6948226,277483,2020-02-24,MarginPurchase,2501,278401
91,135766107000,135057110000,5932487000,2020-02-24,MarginPurchaseMoney,89218000,5134272000
92,791954,739473,35287,2020-02-24,ShortSale,558,88326
93,136719169000,135766883000,6830912000,2020-02-25,MarginPurchaseMoney,110129000,5768497000
94,6900294,6944807,254114,2020-02-25,MarginPurchase,4443,294184
95,804344,791954,36396,2020-02-25,ShortSale,3994,52780
96,846802,804344,46346,2020-02-26,ShortSale,860,89664
97,137491118000,136719106000,7448810000,2020-02-26,MarginPurchaseMoney,89257000,6587541000
98,6886063,6900290,294553,2020-02-26,MarginPurchase,4021,304759
99,844906,846802,66158,2020-02-27,ShortSale,874,65136
100,135384552000,137491108000,7155145000,2020-02-27,MarginPurchaseMoney,161572000,9100129000
101,6823225,6886061,333797,2020-02-27,MarginPurchase,6076,390557
102,6797590,6823210,314966,2020-03-02,MarginPurchase,7842,332744
103,135502015000,135383736000,6429443000,2020-03-02,MarginPurchaseMoney,204643000,6106521000
104,846538,844906,55544,2020-03-02,ShortSale,674,57850
105,6831055,6797589,303350,2020-03-03,MarginPurchase,7251,262633
106,136118849000,135502070000,6932371000,2020-03-03,MarginPurchaseMoney,119988000,6195604000
107,861801,846538,27925,2020-03-03,ShortSale,4573,47761
108,6827550,6831042,237906,2020-03-04,MarginPurchase,5264,236134
109,136136454000,136118844000,5162572000,2020-03-04,MarginPurchaseMoney,130675000,5014287000
110,880542,861801,26613,2020-03-04,ShortSale,3783,49137
111,6789128,6827549,240799,2020-03-05,MarginPurchase,6525,272695
112,135199398000,136136454000,5742500000,2020-03-05,MarginPurchaseMoney,145898000,6533658000
113,902548,880542,25774,2020-03-05,ShortSale,1772,49552
114,6837578,6789128,323621,2020-03-06,MarginPurchase,9822,265349
115,136548270000,135199398000,6671827000,2020-03-06,MarginPurchaseMoney,216262000,5106693000
116,898423,902548,50637,2020-03-06,ShortSale,1277,47789
117,863807,898423,104368,2020-03-09,ShortSale,2698,72450
118,6726564,6842678,501903,2020-03-09,MarginPurchase,12254,605763
119,134381858000,136590736000,8597088000,2020-03-09,MarginPurchaseMoney,337604000,10468362000
120,133333462000,134380915000,7236539000,2020-03-10,MarginPurchaseMoney,402678000,7881314000
121,6627325,6726564,386102,2020-03-10,MarginPurchase,14061,471280
122,840656,863807,71862,2020-03-10,ShortSale,1832,50543
123,765784,840656,118950,2020-03-11,ShortSale,3900,47978
124,132879755000,133333231000,6445202000,2020-03-11,MarginPurchaseMoney,311437000,6587240000
125,6657677,6627322,363536,2020-03-11,MarginPurchase,15766,317415
126,721764,765784,115272,2020-03-12,ShortSale,10823,82075
127,125554617000,132879667000,8714977000,2020-03-12,MarginPurchaseMoney,841112000,15198915000
128,6415875,6657676,453404,2020-03-12,MarginPurchase,21024,674181
129,637103,721764,124203,2020-03-13,ShortSale,30563,70105
130,115134379000,125553878000,8771157000,2020-03-13,MarginPurchaseMoney,1562692000,17627964000
131,6010866,6415868,517708,2020-03-13,MarginPurchase,34865,887845
132,5984724,6010858,402652,2020-03-16,MarginPurchase,29267,399519
133,633731,637103,66291,2020-03-16,ShortSale,9718,72637
134,112580100000,115133183000,7134034000,2020-03-16,MarginPurchaseMoney,1109476000,8577641000
135,107948645000,112578043000,6959895000,2020-03-17,MarginPurchaseMoney,1616590000,9972702000
136,604839,633713,81750,2020-03-17,ShortSale,10481,63357
137,5828993,5984704,397687,2020-03-17,MarginPurchase,41829,511569
138,5713923,5828986,335082,2020-03-18,MarginPurchase,29466,420679
139,561779,604834,104718,2020-03-18,ShortSale,19556,81219
140,104665406000,107945457000,5442547000,2020-03-18,MarginPurchaseMoney,1119354000,7603244000
141,92863637000,104665009000,7995023000,2020-03-19,MarginPurchaseMoney,2550048000,17246347000
142,5242797,5713939,505625,2020-03-19,MarginPurchase,49512,927255
143,424344,561799,209719,2020-03-19,ShortSale,11946,84210
144,92221450000,92860542000,6674025000,2020-03-20,MarginPurchaseMoney,838947000,6474170000
145,5253370,5242796,391810,2020-03-20,MarginPurchase,34032,347204
146,467311,424344,69636,2020-03-20,ShortSale,10702,123305
147,5247136,5253358,274980,2020-03-23,MarginPurchase,14117,267085
148,469278,467311,45178,2020-03-23,ShortSale,33119,80264
149,91285808000,92220848000,4242137000,2020-03-23,MarginPurchaseMoney,413442000,4763735000
150,846538,844906,55544,2020-03-24,ShortSale,674,57850
151,135502015000,135383736000,6429443000,2020-03-24,MarginPurchaseMoney,204643000,6106521000
152,6797590,6823210,314966,2020-03-24,MarginPurchase,7842,332744
153,90396752000,91572274000,6281392000,2020-03-25,MarginPurchaseMoney,178548000,7278366000
154,491055,473391,38725,2020-03-25,ShortSale,2994,59383
155,5279786,5295842,352771,2020-03-25,MarginPurchase,9190,359637
156,5316635,5279784,281892,2020-03-26,MarginPurchase,6149,238892
157,90070898000,90396732000,4986513000,2020-03-26,MarginPurchaseMoney,104505000,5207842000
158,512749,491055,32152,2020-03-26,ShortSale,11331,65177
159,543128,512749,43443,2020-03-27,ShortSale,5344,79166
160,90597443000,90070895000,7125315000,2020-03-27,MarginPurchaseMoney,142895000,6455872000
161,5370326,5316634,364328,2020-03-27,MarginPurchase,8205,302431
162,546113,543128,51024,2020-03-30,ShortSale,2330,56339
163,91735682000,90597443000,4614347000,2020-03-30,MarginPurchaseMoney,106113000,3369995000
164,5420444,5370326,261062,2020-03-30,MarginPurchase,6873,204071
165,556754,546113,40227,2020-03-31,ShortSale,3102,53970
166,5471770,5420442,269299,2020-03-31,MarginPurchase,6799,211172
167,91898116000,91735632000,4872182000,2020-03-31,MarginPurchaseMoney,124126000,4585572000
168,91965082000,91898116000,4046643000,2020-04-01,MarginPurchaseMoney,196619000,3783058000
