買進,日期,種類,賣出
48569372368,2020-02-06,total,44103808068
1711151202,2020-02-06,Investment_Trust,2463736362
8563980,2020-02-07,Foreign_Dealer_Self,6631800
37030600303,2020-02-07,total,50523077738
1239040350,2020-02-07,Dealer_self,1433687020
31087949878,2020-02-07,Foreign_Investor,39879039082
3840187525,2020-02-07,Dealer_Hedging,6357396752
863422550,2020-02-07,Investment_Trust,2852954884
1048551800,2020-02-10,Investment_Trust,2319233911
30422218627,2020-02-10,Foreign_Investor,34960993353
5755843364,2020-02-10,Dealer_Hedging,5168336713
2064876120,2020-02-10,Dealer_self,1683893690
5137100,2020-02-10,Foreign_Dealer_Self,13348600
39291489911,2020-02-10,total,44132457667
1875816520,2020-02-11,Investment_Trust,1151056493
11856650,2020-02-11,Foreign_Dealer_Self,12315690
39758003944,2020-02-11,total,38423396042
5668356649,2020-02-11,Dealer_Hedging,5231531343
30389015785,2020-02-11,Foreign_Investor,31073383476
1824814990,2020-02-11,Dealer_self,967424730
15599260,2020-02-12,Foreign_Dealer_Self,12899560
4871485732,2020-02-12,Dealer_Hedging,6092647744
45337353369,2020-02-12,Foreign_Investor,39098159574
54962962303,2020-02-12,total,48402954118
2687431382,2020-02-12,Dealer_self,1618104400
2066691820,2020-02-12,Investment_Trust,1594042400
1209274400,2020-02-13,Dealer_self,1699034100
4332316764,2020-02-13,Dealer_Hedging,6287033617
35661913604,2020-02-13,Foreign_Investor,33700412861
1107329810,2020-02-13,Investment_Trust,1522249870
15205720,2020-02-13,Foreign_Dealer_Self,8685820
42310834578,2020-02-13,total,43208730448
1174856240,2020-02-14,Investment_Trust,1525728160
1533705810,2020-02-14,Dealer_self,742243770
28748119297,2020-02-14,Foreign_Investor,27053433173
7774770,2020-02-14,Foreign_Dealer_Self,8289020
4603139616,2020-02-14,Dealer_Hedging,4211818342
36059820963,2020-02-14,total,33533223445
8007030,2020-02-17,Foreign_Dealer_Self,7778390
4682565981,2020-02-17,Dealer_Hedging,4434679396
1183115160,2020-02-17,Investment_Trust,2604167074
1490149430,2020-02-17,Dealer_self,951707180
28673520831,2020-02-17,total,33517798377
21317690260,2020-02-17,Foreign_Investor,25527244727
1547708165,2020-02-18,Investment_Trust,1939210305
1755724330,2020-02-18,Dealer_self,1971952175
26082705955,2020-02-18,Foreign_Investor,47295038664
4463751131,2020-02-18,Dealer_Hedging,5345191571
8298550,2020-02-18,Foreign_Dealer_Self,9237370
33849889581,2020-02-18,total,56551392715
40621955558,2020-02-19,Foreign_Investor,36817043561
1640646060,2020-02-19,Investment_Trust,2488022852
2090386670,2020-02-19,Dealer_self,1532008590
51294138953,2020-02-19,total,45751001416
6275400,2020-02-19,Foreign_Dealer_Self,11431300
6941150665,2020-02-19,Dealer_Hedging,4913926413
1849869710,2020-02-20,Dealer_self,1230055150
5944673812,2020-02-20,Dealer_Hedging,5181833074
11112510,2020-02-20,Foreign_Dealer_Self,7927990
1961502570,2020-02-20,Investment_Trust,2168717410
40895301433,2020-02-20,total,47993188600
31139255341,2020-02-20,Foreign_Investor,39412582966
1031964270,2020-02-21,Dealer_self,1287599580
1812766770,2020-02-21,Investment_Trust,1937666314
4691689912,2020-02-21,Dealer_Hedging,5257867816
8799650,2020-02-21,Foreign_Dealer_Self,4608020
29240722566,2020-02-21,Foreign_Investor,32690074024
36777143518,2020-02-21,total,41173207734
1805557285,2020-02-24,Investment_Trust,1526421348
5398909542,2020-02-24,Dealer_Hedging,7280472744
5440570,2020-02-24,Foreign_Dealer_Self,9299720
25361359397,2020-02-24,Foreign_Investor,51700753908
1797635040,2020-02-24,Dealer_self,1398888020
34363461264,2020-02-24,total,61906536020
1436519800,2020-02-25,Investment_Trust,1892514834
9940070,2020-02-25,Foreign_Dealer_Self,5266370
6684982050,2020-02-25,Dealer_Hedging,6963355255
2210367920,2020-02-25,Dealer_self,1328910106
31797521441,2020-02-25,Foreign_Investor,43468204368
42129391211,2020-02-25,total,53652984563
33606625395,2020-02-26,Foreign_Investor,66808127841
44900536078,2020-02-26,total,79038256827
7286485643,2020-02-26,Dealer_Hedging,8972620912
2093562240,2020-02-26,Investment_Trust,1373444404
4630680,2020-02-26,Foreign_Dealer_Self,6640280
1913862800,2020-02-26,Dealer_self,1884063670
2521239470,2020-02-27,Dealer_self,3463519300
